,period,AHU-1-EC,AHU-1-SAR,AHU-1-SAT,CHB-1-DF,CHB-1-SP,CHI-1-CP,CHI-1-KWR,CHI-1-LCWSTSP,CHICMP-1-AP,CLDHM,CLDOAFT,CLDOAT,CNDP-1-RFT,CNDP-1-SPD,CT-1-ENT,CT-1-EXT,CT-1-SPD,CW-1-STSP,DHW-1-RT,DHW-1-ST,DHWB-1-RTL,DHWB-2-RTL,DHWT-1-TMP,EVA-1-P,EVA-1-RT,H-1-CO2,H-1-TMP,H-2-CO2,H-2-TMP,HC-1-RT,HC-1-ST,HYD-1-DP,HYD-1-RTT,HYD-1-SPD,HYD-1-ST,HYD-2-SPD,HYDC-1-P,LHB-1-DF,LHB-1-SP,OAT-1,OAT-2,PC-1-P,hour,weekday,CDD,CHI-1-EC,CT-1-EC,CNDP-1-EC,HYD-1-EC,HYD-2-EC
0,2022/02/15 15:30:02,0.0,45.33,20.07106667,0.0,0.0,61.89546667,5.692533333,0.0,2.9078,73.70555556,19.35,19.23,9.722857143,3.817142857,19.90066667,19.6375,3.86,0.0,44.4362,51.80606667,0.0,0.0,53.1886,58.2766,8.950666667,424.2463333,22.3206,415.4405714,22.35973333,9.208666667,9.092,7.0614,11.2766,44.76615385,10.59966667,0.0,26.0886,0.0,0.0,19.325,19.41813333,19.20815385,0.0,6.02,0.0,0.0,0.0,0.0,1.0,0.0
1,2022/02/15 15:30:03,0.0,45.27,19.93853333,0.0,0.0,61.00493333,0.0,0.0,0.0,74.81666667,19.21933333,19.10533333,10.624,0.0,20.04733333,19.29,0.0,0.0,41.91273333,50.564,38.907,55.76066667,51.83686667,60.86886667,10.29133333,423.4863333,22.35573333,416.5848667,22.39573333,10.44,10.49266667,6.987866667,12.16333333,44.86666667,11.84886667,0.0,26.05186667,0.0,0.0,19.40893333,19.31233333,19.2332,0.0,5.98,0.0,0.0,0.0,0.0,1.0,0.0
2,2022/02/15 15:30:04,0.0,45.27,19.97666667,0.0,0.0,72.17746667,30.14166667,0.0,25.35,75.85,18.998,19.02666667,15.03733333,22.9,20.404,19.298,18.46,0.0,40.39633333,52.26626667,34.7906,42.30326667,54.10053333,60.96666667,10.11733333,424.333,22.3572,415.9100667,22.41073333,11.476,10.89466667,7.0724,13.02426667,44.80666667,12.33433333,0.0,26.12106667,0.0,0.0,19.37066667,19.3706,19.27386667,0.0,5.98,0.0,8.363,8.5,0.0,1.0,0.0
3,2022/02/15 15:30:06,0.0,45.33,20.07346667,0.0,0.0,92.84166667,91.43726667,0.0,46.55006667,77.48333333,18.97333333,18.994,23.51666667,57.74,21.93933333,20.40733333,55.94,0.0,41.389,51.58126667,38.01,30.171,52.90206667,55.0094,7.296,422.2275333,22.3402,415.1522,22.44673333,10.674,8.585333333,7.082666667,12.86173333,44.94,10.4378,0.0,25.95633333,0.0,0.0,19.1892,19.302,19.29013333,0.0,6.02,0.0,23.394,0.0,1.25,1.0,0.0
4,2022/02/15 15:30:07,0.0,45.33,20.07806667,0.0,0.0,68.01493333,24.71473333,0.0,12.31446667,78.18333333,19.05466667,18.92866667,12.98,15.22,21.01133333,20.40266667,14.74,0.0,36.5064,50.5258,36.99426667,48.64633333,52.5152,56.90653333,8.285333333,424.5933333,22.41573333,414.8592667,22.4556,9.232,8.744,7.011333333,11.3652,44.54,10.37833333,0.0,26.04173333,0.0,0.0,19.38806667,19.2938,19.1844,1.06,6.02,0.0,3.051,0.0,0.0,2.0,0.0
5,2022/02/15 15:30:08,0.0,45.33,20.12826667,0.0,0.0,61.45813333,0.0,0.0,0.0,79.18333333,18.85266667,18.956,10.59266667,0.0,21.032,19.942,0.0,0.0,39.64326667,52.293,38.003,30.149,53.7464,60.72406667,10.25733333,425.158,22.3988,417.4966,22.48913333,10.41533333,10.42466667,7.106333333,12.11226667,44.94666667,11.7492,0.0,26.07053333,0.0,0.0,19.45513333,19.45273333,19.14373333,0.94,6.02,0.0,0.0,0.0,0.0,1.0,0.0
6,2022/02/15 15:30:09,0.0,45.27,20.13173333,0.0,0.0,72.5548,28.58513333,0.0,15.2166,80.15,18.84533333,18.92866667,15.58733333,22.9,21.27666667,19.914,18.74,0.0,41.4232,50.212,44.04293333,40.26373333,51.87273333,60.76553333,10.24866667,424.2677333,22.40373333,416.8454667,22.51893333,11.61333333,11.03466667,7.0354,13.15246667,44.78666667,12.41653333,0.0,26.05833333,0.0,0.0,19.4908,19.39426667,19.2576,1.06,5.98,0.0,8.442,0.0,2.75,1.0,0.0
7,2022/02/15 15:30:10,0.0,45.33,20.14373333,0.0,0.0,94.1198,89.45706667,0.0,46.24553333,80.85,18.78533333,18.852,23.95733333,57.74,22.412,20.96733333,55.66,0.0,41.52693333,52.5046,44.10193333,36.60966667,54.26933333,55.70646667,7.662,424.7023333,22.4638,415.0635333,22.51973333,11.03466667,8.883333333,6.965333333,13.09406667,44.81333333,10.71333333,0.0,25.92593333,0.0,0.0,19.40566667,19.41033333,19.33453333,1.06,6.02,0.0,17.129,0.0,1.25,1.0,0.0
8,2022/02/15 15:30:11,0.0,45.33,20.13513333,0.0,0.0,71.43306667,30.25206667,0.0,15.25226667,80.81666667,18.89133333,18.732,14.766,21.7,21.474,20.814,18.46,0.0,42.922,51.24513333,38.033,30.542,52.95,57.4548,8.555333333,424.5068,22.4572,415.5842667,22.5154,9.61,9.001333333,6.950666667,11.73473333,44.72,10.5586,0.0,26.1312,0.0,0.0,19.57673333,19.47213333,19.18,1.94,6.02,0.0,4.683,0.0,2.75,1.0,0.0
9,2022/02/15 15:30:12,0.0,45.27,20.159,0.0,0.0,62.35646667,0.0,0.0,0.0,81.81666667,18.81733333,18.74133333,11.04466667,0.0,21.31266667,20.31466667,0.0,0.0,44.32373333,50.02153333,45.07753333,41.62826667,51.8406,61.7004,10.75866667,427.7628667,22.47273333,417.6682667,22.52273333,10.86266667,10.86866667,6.851,12.46066667,44.90666667,12.08313333,0.0,26.036,0.0,0.0,19.51213333,19.6076,19.11933333,1.94,6.02,0.0,0.0,0.0,0.0,1.0,0.0
